0,2180
1,30
2,11
3,60
4,32
5,1290
6,600
7,4.5
8,8.8
9,9
10,41
11,1.05
12,40
13,56
14,30
15,8172
16,16
17,18.71
18,324.89375
19,10
20,180
21,5
22,100
23,68
24,240
25,53
26,11
27,32
28,1.884
29,1950
30,3.6
31,75
32,9
33,720
34,44
35,1/10
36,251
37,5
38,35/60
39,48
40,400
41,24
42,7
43,500
44,96
45,17
46,95
47,288
48,40
49,280
50,656
51,9
52,7600
53,280
54,778
55,120
56,42
57,4925
58,1056
59,9
60,13
61,1201
62,300
63,738
64,1176
65,705.6
66,14796
67,-5594
68,3360
69,2520
70,10
71,73.2
72,6600
73,1/2
74,125
75,3.8
76,2
77,4/5
78,24
79,194
80,3.3
81,98
82,8
83,392
84,250
85,25%
86,15
87,4.71
88,402
89,374
90,10.8
91,20
92,4
93,1735
94,400
95,873.5
96,8
97,100.48
98,3
99,260
100,2243.6
101,400
102,446.24
103,13
104,8
105,20
106,5/9
107,43.25
108,6.9
109,7.5
110,11/10
111,1200
112,560
113,147
114,25.25
115,160
116,5055
117,623
118,192
119,124
120,0.76
121,13
122,25
123,69
124,2000
125,90%
126,400
127,3
128,124
129,770
130,7/9
131,6089
132,10
133,9
134,11200
135,8
136,595
137,50
138,24
139,87
140,90
141,254
142,-96
143,15
144,137.76
145,356
146,6
147,8400
148,4800
149,9
150,8/9
151,494
152,0.6
153,490
154,4000
155,3/10
156,0.375
157,600
158,108
159,580
160,30
161,5
162,5
163,6
164,8
165,1350
166,336
167,775
168,10
169,360
170,10/9
171,7
172,280
173,144
174,3/7
175,14
176,44
177,9
178,2
179,11
180,-79
181,87.92
182,9
183,27
184,11/20
185,650
186,5000
187,10
188,312
189,15
190,782
191,90.34
192,10245
193,820
194,400
195,4.967
196,704
197,28.26
198,450
199,272
200,450
201,114
202,18
203,11/20
204,2
205,40
206,4/9
207,6
208,40
209,6225
210,10
211,75
212,3111
213,3000
214,6
215,612500
216,16
217,4.25
218,63072
219,200
220,5
221,333
222,20
223,8
224,200
225,1872
226,32
227,9
228,6
229,201.6
230,190
231,293
232,2150
233,107
234,684
235,60
236,691
237,4950
238,5/18
239,205
240,500
241,20
242,5/2
243,5375
244,432
245,3/5
246,25
247,5/8
248,240
249,9
250,3.2
251,0.004167
252,3013.5
253,1260
254,8100
255,6000
256,1536
257,7
258,490
259,5
260,2505
261,120
262,1/2
263,25
264,24/5
265,6
266,25/24
267,276
268,26
269,95
270,25000
271,12300
272,75
273,12
274,520
275,2275
276,289
277,5.4
278,32
279,750
280,290.16
281,272
282,6
283,736
284,58
285,18
286,240
287,579
288,68
289,2250
290,944
291,3
292,4
293,542
294,3
295,21
296,5280
297,10
298,4
299,94
300,224
301,19/20
302,8
303,8
304,81
305,7.065
306,36
307,20
308,45
309,11
310,62.8
311,450
312,31
313,5/7
314,36
315,60
316,40000
317,756
318,900
319,80/9
320,4
321,432
322,5/8
323,7/10
324,3/5
325,6
326,3450
327,78.75
328,890
329,3
330,8762.25
331,434000
332,16000
333,300
334,4/7
335,1344
336,15
337,162
338,10
339,10
340,50/3
341,90
342,21
343,35
344,60
345,47
346,48
347,8
348,425
349,2
350,0.32
351,600
352,465
353,1430
354,168
355,140
356,163
357,1.57
358,2.5
359,-14
360,11304
361,1256
362,45
363,6
364,35/2
365,540
366,4/7
367,24
368,-1/8
369,209
370,150
371,242
372,9
373,7.95
374,36
375,1350
376,591
377,2.88
378,4429
379,30/11
380,70
381,43
382,2/5
383,6240
384,56375
385,96
386,8
387,175.93216
388,400
389,19
390,15
391,1260
392,768
393,800
394,4.71
395,1150
396,450
397,9
398,6592
399,12
400,1656
401,136
402,864
403,20/9
404,350
405,32
406,15
407,11/15
408,4.75
409,9.42
410,5
411,6
412,2/8
413,800
414,10
415,516
416,55
417,8
418,1320
419,20
420,1/3
421,1
422,330
423,0.6
424,1.12
425,15.12
426,1.8
427,1120
428,667
429,1500
430,580
431,-120
432,384
433,112
434,12960
435,31
436,408
437,44
438,1.25
439,6300
440,3/8
441,45
442,410
443,87.5
444,64
445,765
446,3/5
447,0.45
448,20
449,1920
450,1036
451,68
452,18%
453,50
454,30
455,133
456,1080
457,6
458,76
459,390
460,24
461,2400
462,32
463,816
464,5
465,1710
466,240
467,246
468,21
469,30
470,12
471,16
472,700
473,251.2
474,6
475,21
476,534
477,5
478,1152
479,231
480,3.2
481,533
482,34/60
483,2.2712
484,30
485,280
486,132
487,216
488,15
489,1284
490,4
491,96
492,100
493,44.72
494,440
495,2093.84
496,1080
497,1440
498,80
499,1344
500,272
501,800
502,3200
503,750
504,885
505,639
506,10
507,700
508,188.4
509,24
510,264000
511,14
512,135/800
513,3.5
514,120
515,58
516,786
517,0.025
518,2/3
519,441
520,45
521,8
522,355
523,1800
524,5/8
525,200
526,340
527,1000
528,30
529,753.6
530,120
531,43
532,15
533,50.55
534,12
535,45
536,1.44
537,22
538,7
539,288
540,400
541,100
542,216
543,600
544,32
545,45
546,3
547,84
548,10
549,108
550,1730
551,34.54
552,48
553,2.5
554,1100
555,750
556,11
557,56
558,43.9432
559,50.24
560,3.5
561,6
562,70/3
563,90
564,60
565,60
566,1/5
567,210/209
568,65.2
569,2250
570,274
571,16.8
572,10700
573,24
574,7500
575,44.85
576,4
577,2
578,150
579,108
580,400
581,14
582,348.6
583,1024
584,-5
585,12
586,11
587,33
588,50
589,240
590,4.5
591,16
592,32
593,5
594,3/20
595,50.24
596,0.45
597,197
598,192
599,60000
600,2352
601,12.5
602,3
603,400/9
604,395
605,3/5
606,2
607,4.5
608,6
609,62
610,900
611,18
612,174
613,0.36
614,9.6
615,93.6
616,116.8
617,1000000
618,1.57
619,90
620,99.4
621,500
622,249.2
623,114
624,1.5
625,15
626,220
627,5
628,421
629,81
630,30
631,3.14
632,5/4
633,2000
634,1440
635,5%
636,93.75%
637,75%
638,99%
639,5/6
640,4.104
641,54
642,45
643,24
644,13.8
645,35
646,0.75
647,1/10
