0,2380
1,79
2,11
3,9/7
4,32
5,1290
6,600
7,5015
8,8.8
9,9
10,41
11,1.05
12,80
13,56
14,90
15,8172
16,16
17,18.7
18,324.89375
19,10
20,180
21,5
22,172
23,68
24,80
25,54
26,11
27,34.65
28,3.14
29,1950
30,3.6
31,75
32,9
33,720
34,44
35,9/10
36,251
37,5
38,35/60
39,48
40,400
41,24
42,7
43,500
44,96
45,17
46,95
47,288
48,40
49,280
50,656
51,9
52,7600
53,280
54,778
55,120
56,42
57,4925
58,1056
59,9
60,13
61,1201
62,1300
63,738
64,1176
65,705.6
66,1099.2
67,-5594
68,3360
69,2520
70,10
71,73.2
72,6600
73,1/2
74,125
75,3.8
76,2.4
77,49/50
78,24
79,194
80,2.3
81,56
82,7
83,392
84,250
85,25%
86,15
87,4.71
88,402
89,374
90,10.8
91,20
92,16
93,1735
94,400
95,847.8
96,8
97,100.48
98,3
99,260
100,2243.6
101,400
102,417.6
103,14
104,8
105,20
106,5/9
107,43.25
108,6.9
109,3.75
110,7/10
111,1200
112,560
113,147
114,25.25
115,160
116,5055
117,623
118,192
119,124
120,0.76
121,13
122,25
123,69
124,4800
125,90%
126,360
127,0.3
128,124
129,770
130,7/9
131,6089
132,10
133,9
134,11200
135,8
136,595
137,50
138,24
